Object ID,Class,Track History
574,6,"[(6, 1193.9937744140625, 167.10276794433594), (6, 1163.61669921875, 179.53570556640625), (6, 1134.77978515625, 179.8577423095703), (6, 1094.2650146484375, 188.21078491210938), (6, 1056.3485107421875, 192.17709350585938), (6, 1016.6295776367188, 191.07342529296875), (6, 966.8995971679688, 204.7508544921875), (6, 915.8290405273438, 219.61337280273438), (6, 861.6983642578125, 230.16720581054688), (6, 806.5407104492188, 229.74090576171875), (6, 739.6972045898438, 240.85377502441406), (6, 679.585205078125, 252.9835205078125), (6, 588.3724365234375, 270.0607604980469), (6, 503.758056640625, 284.7247619628906), (6, 415.09613037109375, 293.00140380859375), (6, 322.2216796875, 315.403564453125), (6, 223.11566162109375, 345.77716064453125), (6, 124.255615234375, 351.0472412109375), (6, 75.48851776123047, 372.91473388671875)]"
576,6,"[(6, 1336.901123046875, 108.4102783203125), (6, 1352.991943359375, 116.6212158203125), (6, 1367.28271484375, 117.86225891113281), (6, 1377.01416015625, 119.65185546875), (6, 1385.617919921875, 129.3648223876953), (6, 1390.961181640625, 131.30477905273438), (6, 1404.4716796875, 140.3414764404297), (6, 1411.7601318359375, 144.6288604736328), (6, 1421.4478759765625, 149.335693359375), (6, 1433.6741943359375, 154.72947692871094), (6, 1444.0013427734375, 156.19140625), (6, 1461.1217041015625, 164.86940002441406), (6, 1479.585205078125, 172.43319702148438), (6, 1496.735107421875, 172.6909637451172), (6, 1506.476318359375, 173.738037109375), (6, 1518.2451171875, 179.44363403320312), (6, 1530.9420166015625, 182.81781005859375), (6, 1545.43505859375, 193.91970825195312), (6, 1561.113037109375, 196.5511474609375), (2, 1579.97607421875, 197.4333038330078), (6, 1595.985107421875, 201.7793731689453), (6, 1614.515869140625, 206.725830078125), (6, 1629.96826171875, 212.82122802734375), (2, 1651.783447265625, 218.68896484375), (2, 1673.54541015625, 221.8997039794922), (2, 1693.5068359375, 225.494384765625)]"
581,6,"[(6, 1188.4161376953125, 202.33306884765625), (6, 1118.6304931640625, 223.54151916503906)]"
582,6,"[(6, 1240.1041259765625, 144.67410278320312), (6, 1239.52294921875, 157.72056579589844), (6, 1220.270263671875, 174.70404052734375), (6, 1177.63427734375, 199.536376953125), (6, 1115.58642578125, 229.13088989257812), (6, 1028.53271484375, 245.34170532226562), (6, 970.0653076171875, 252.67933654785156), (6, 906.8576049804688, 269.7677001953125), (6, 836.032958984375, 296.76947021484375), (6, 754.9336547851562, 327.8262939453125), (6, 665.2162475585938, 345.29791259765625), (6, 563.7377319335938, 362.41192626953125), (6, 509.1336364746094, 376.8070068359375), (6, 454.80560302734375, 390.6253356933594), (6, 395.74090576171875, 400.0144958496094), (6, 340.39569091796875, 416.2802734375), (6, 280.8241271972656, 429.510986328125), (6, 222.40098571777344, 448.74658203125), (6, 167.96372985839844, 450.98309326171875), (6, 107.9296875, 478.42498779296875), (6, 92.25498962402344, 479.291259765625), (6, 71.04993438720703, 488.83282470703125)]"
583,6,"[(6, 1327.16845703125, 96.01895904541016), (6, 1394.5267333984375, 125.77777099609375), (6, 1414.076171875, 132.28854370117188), (6, 1440.8685302734375, 146.48866271972656), (6, 1471.49560546875, 151.90164184570312), (6, 1488.32666015625, 159.8022003173828), (6, 1507.2080078125, 166.6380615234375), (6, 1523.926025390625, 170.5940399169922), (6, 1544.9031982421875, 179.72207641601562)]"
587,6,"[(6, 1553.4482421875, 187.5704345703125)]"
590,2,"[(2, 1268.972900390625, 68.9753189086914), (2, 1296.749755859375, 81.18682098388672), (2, 1313.6678466796875, 103.86131286621094), (2, 1337.20166015625, 98.18574523925781), (2, 1364.0556640625, 110.44373321533203), (2, 1370.470703125, 114.94304656982422), (2, 1376.735107421875, 120.69737243652344), (2, 1382.653076171875, 122.2554931640625), (2, 1391.04248046875, 127.07852172851562), (2, 1400.4056396484375, 125.07514953613281), (2, 1410.839599609375, 128.44686889648438), (2, 1418.9610595703125, 131.74781799316406), (2, 1431.3328857421875, 134.55401611328125), (2, 1440.471435546875, 137.99981689453125), (2, 1451.2401123046875, 140.56076049804688), (2, 1461.7830810546875, 142.9503936767578), (2, 1476.219970703125, 155.7259063720703), (2, 1487.64013671875, 158.11012268066406), (2, 1500.7977294921875, 154.7610321044922), (2, 1512.58935546875, 156.71212768554688), (2, 1525.658203125, 159.58055114746094), (2, 1538.11083984375, 158.47825622558594), (2, 1549.984619140625, 159.7719268798828), (2, 1564.7203369140625, 162.57933044433594), (2, 1584.947265625, 167.53431701660156), (2, 1596.3680419921875, 174.96847534179688), (2, 1615.4755859375, 180.9916534423828), (2, 1632.31494140625, 190.34593200683594), (2, 1649.088134765625, 195.85385131835938), (2, 1672.17138671875, 199.2254638671875), (2, 1687.8702392578125, 203.7392120361328), (2, 1706.882568359375, 205.871826171875), (2, 1725.348876953125, 212.4067840576172), (2, 1739.100830078125, 218.58029174804688), (2, 1746.242919921875, 224.10232543945312), (2, 1757.021728515625, 228.29920959472656), (2, 1763.8104248046875, 228.30496215820312), (2, 1770.797119140625, 237.78114318847656), (2, 1770.62158203125, 225.11520385742188), (2, 1790.0970458984375, 239.14620971679688), (2, 1806.583251953125, 252.11595153808594), (2, 1814.884033203125, 257.7637634277344), (2, 1818.003173828125, 254.91632080078125), (2, 1822.6419677734375, 253.3966827392578), (2, 1830.219970703125, 262.58099365234375), (2, 1838.947509765625, 263.6962890625)]"
591,6,"[(6, 853.4965209960938, 57.23257827758789), (6, 927.9519653320312, 33.50381851196289), (6, 947.5311279296875, 30.535751342773438), (6, 951.69677734375, 29.196510314941406), (6, 955.8812866210938, 28.024412155151367), (6, 959.4371948242188, 24.594560623168945), (6, 960.87744140625, 24.088062286376953), (6, 963.6026000976562, 23.5885066986084), (6, 963.1388549804688, 22.877214431762695), (6, 963.08935546875, 21.592470169067383), (6, 961.1021728515625, 21.68029022216797), (6, 961.523681640625, 19.42178726196289), (6, 959.8980712890625, 19.9226016998291), (6, 959.0136108398438, 19.21930503845215), (6, 955.862548828125, 21.376054763793945), (6, 957.8472900390625, 20.4329776763916), (6, 957.4915771484375, 17.593690872192383), (6, 956.6524658203125, 18.251840591430664), (6, 953.2318725585938, 19.185029983520508), (6, 949.16650390625, 19.135665893554688), (6, 947.0493774414062, 19.6557674407959), (6, 947.0863037109375, 20.170352935791016), (6, 946.5035400390625, 19.64727210998535), (6, 946.004638671875, 19.59229850769043), (6, 946.4630737304688, 19.24429702758789), (6, 946.4275512695312, 19.4078426361084), (6, 946.087158203125, 19.645832061767578), (6, 946.291015625, 19.44308090209961), (6, 946.5108642578125, 19.713090896606445), (6, 946.479736328125, 19.427812576293945), (6, 946.8988037109375, 19.5203800201416), (6, 946.9425048828125, 19.20020866394043), (6, 947.001220703125, 18.74787712097168), (6, 947.0437622070312, 18.184982299804688), (6, 946.810546875, 17.838809967041016)]"
594,4,"[(4, 1252.15576171875, 335.92535400390625), (6, 1082.27294921875, 419.05303955078125)]"
595,2,"[(2, 1146.66064453125, 126.37001037597656), (2, 1138.863525390625, 129.1907958984375), (2, 1124.931640625, 136.64825439453125), (2, 1103.29052734375, 147.8279266357422), (2, 1081.835693359375, 157.7268829345703), (2, 1044.740478515625, 168.4097900390625), (2, 1005.9241943359375, 182.51443481445312), (2, 949.2266845703125, 197.3416748046875), (2, 881.5465087890625, 214.4951171875), (2, 824.84619140625, 226.99298095703125), (2, 791.865478515625, 234.71475219726562), (2, 766.044189453125, 239.04824829101562), (2, 740.63818359375, 248.29583740234375), (2, 713.9002685546875, 255.42123413085938), (2, 688.191650390625, 263.1014099121094), (2, 658.166748046875, 269.26123046875), (2, 632.0425415039062, 269.8717346191406), (2, 615.7269897460938, 272.16693115234375), (2, 601.7876586914062, 277.5220031738281), (2, 589.0848388671875, 279.9271240234375), (2, 573.0068969726562, 281.27618408203125), (2, 559.1578369140625, 285.6026306152344), (2, 541.2310791015625, 290.3493347167969), (2, 526.7783203125, 294.41778564453125), (2, 508.884033203125, 297.0464782714844), (2, 495.6695556640625, 300.7936096191406), (2, 480.64483642578125, 304.49615478515625), (2, 461.24072265625, 305.71246337890625), (2, 450.22271728515625, 307.2647399902344), (2, 435.199951171875, 308.043701171875), (2, 420.2680969238281, 307.6737060546875), (2, 402.42193603515625, 312.50177001953125), (2, 386.68804931640625, 314.3887634277344), (2, 372.45062255859375, 317.4798889160156), (2, 354.4813537597656, 323.5601806640625), (2, 338.18023681640625, 326.94635009765625), (2, 321.3721008300781, 330.5718688964844), (2, 302.80023193359375, 334.7747497558594), (2, 285.15911865234375, 339.68096923828125), (2, 267.1328430175781, 343.3637390136719), (2, 247.8079071044922, 344.7940368652344), (2, 232.00856018066406, 346.34814453125), (2, 227.7285919189453, 347.68695068359375), (2, 226.5447235107422, 349.9720764160156), (2, 214.0865478515625, 359.19073486328125), (2, 212.18020629882812, 359.0353088378906), (2, 204.3038787841797, 358.60406494140625), (2, 192.6831512451172, 362.1578674316406), (2, 171.6807098388672, 379.933837890625), (2, 155.47793579101562, 382.759765625), (2, 150.0172119140625, 391.56805419921875), (2, 138.62185668945312, 392.10113525390625), (2, 129.809814453125, 395.09442138671875), (2, 122.84941101074219, 397.6236267089844), (2, 113.02704620361328, 396.349853515625), (2, 107.1744613647461, 399.7125244140625), (2, 95.05021667480469, 387.9891357421875), (2, 85.58317565917969, 386.00201416015625), (2, 80.03121948242188, 391.38348388671875), (2, 71.99854278564453, 394.16607666015625), (2, 64.84207153320312, 402.3827819824219)]"
600,6,"[(6, 1048.0667724609375, 173.7850799560547), (6, 961.126220703125, 211.80865478515625)]"
602,6,"[(6, 1310.604736328125, 94.43873596191406), (6, 1363.398681640625, 118.50253295898438), (6, 1436.249755859375, 153.04483032226562), (6, 1502.911865234375, 174.12322998046875), (2, 1535.711669921875, 179.35836791992188), (6, 1559.6337890625, 191.74349975585938), (6, 1595.3468017578125, 202.0277099609375)]"
621,2,"[(2, 1267.45458984375, 93.29402923583984), (2, 1316.74560546875, 133.05072021484375), (2, 1332.73583984375, 142.04180908203125), (2, 1339.134765625, 147.64956665039062), (2, 1339.568603515625, 152.64852905273438), (2, 1340.098388671875, 159.5771942138672), (2, 1341.12158203125, 166.03817749023438), (2, 1339.865478515625, 171.111572265625), (2, 1336.5882568359375, 171.73828125), (2, 1333.2265625, 175.2742156982422), (2, 1329.476806640625, 181.66986083984375), (2, 1324.7381591796875, 188.53009033203125), (2, 1318.921630859375, 193.86807250976562), (2, 1313.269287109375, 198.98007202148438), (2, 1307.929931640625, 204.28466796875), (2, 1293.478515625, 207.74465942382812), (2, 1284.02734375, 215.05160522460938), (2, 1270.268798828125, 226.238037109375), (2, 1256.5009765625, 233.7386474609375), (2, 1243.814697265625, 239.3418426513672), (2, 1227.926025390625, 247.18911743164062), (2, 1209.6644287109375, 255.05953979492188), (2, 1186.9410400390625, 267.3857727050781), (2, 1164.323974609375, 274.5102844238281), (2, 1140.3966064453125, 284.5652770996094), (2, 1108.70361328125, 294.9790954589844), (2, 1091.961181640625, 299.4992370605469), (2, 1072.78515625, 304.3638916015625), (2, 1055.8985595703125, 308.8015441894531), (2, 1037.89013671875, 314.4459533691406), (2, 1020.9896240234375, 319.0035705566406), (2, 1001.189697265625, 320.6606750488281), (2, 979.1256103515625, 327.6523742675781), (2, 960.9519653320312, 329.96002197265625), (2, 938.2515258789062, 332.618896484375), (2, 916.7277221679688, 335.8756103515625), (2, 890.7705078125, 338.8472900390625), (2, 865.608154296875, 340.4499816894531), (2, 840.6282958984375, 348.62744140625), (2, 810.430908203125, 356.01654052734375), (2, 783.600341796875, 365.5180969238281), (2, 754.6631469726562, 371.4440612792969), (2, 726.07080078125, 377.8695068359375), (2, 697.3250122070312, 379.34136962890625), (2, 670.4132080078125, 382.2489929199219), (2, 640.5078125, 389.245361328125), (2, 607.7259521484375, 394.607666015625), (2, 576.94140625, 406.74981689453125), (2, 546.6273193359375, 412.872314453125), (2, 510.4007568359375, 415.6000671386719), (2, 472.6380615234375, 421.0854797363281), (2, 445.6055908203125, 429.81024169921875), (2, 412.60821533203125, 434.3592529296875), (2, 374.6059875488281, 441.3074035644531), (2, 338.5307312011719, 451.88818359375), (2, 306.5275573730469, 456.4437255859375), (2, 277.0584411621094, 461.4908447265625), (2, 271.6784362792969, 473.04052734375), (2, 258.30487060546875, 484.57080078125), (2, 246.01751708984375, 488.636962890625), (2, 232.3946075439453, 492.1382751464844), (2, 218.0218505859375, 496.1398010253906), (2, 203.92149353027344, 495.2757263183594), (2, 192.1792755126953, 494.91168212890625), (2, 173.3435821533203, 500.39263916015625), (2, 157.68887329101562, 503.43792724609375), (2, 141.9118194580078, 503.8150634765625), (2, 125.48917388916016, 511.31781005859375), (2, 113.36038970947266, 511.27642822265625), (2, 102.76956939697266, 519.8109741210938)]"
623,6,"[(6, 1050.307861328125, 139.47007751464844), (6, 897.2513427734375, 166.63243103027344), (6, 838.5812377929688, 176.76625061035156), (6, 787.5536499023438, 186.70933532714844), (6, 728.6942138671875, 196.5263214111328), (6, 665.7137451171875, 201.11802673339844), (6, 593.2906494140625, 212.55450439453125), (6, 517.96044921875, 218.40185546875), (6, 435.4085693359375, 225.77001953125), (6, 352.83880615234375, 239.35696411132812), (6, 267.0736999511719, 262.32415771484375), (6, 191.33682250976562, 272.8576965332031), (6, 112.36426544189453, 296.1023864746094), (6, 77.0265884399414, 308.6297302246094), (6, 53.284454345703125, 311.3007507324219), (6, 43.78300094604492, 310.930419921875)]"
624,2,"[(2, 1158.978271484375, 135.2049560546875), (2, 1151.3681640625, 139.49819946289062), (2, 1139.678466796875, 145.19158935546875), (2, 1115.560546875, 143.10897827148438), (2, 1099.62060546875, 159.3814697265625), (2, 1083.897216796875, 172.34181213378906), (2, 1063.77783203125, 170.4737091064453), (2, 1056.3040771484375, 163.44686889648438), (2, 1035.1025390625, 171.45474243164062), (2, 1036.981689453125, 183.6282958984375), (2, 1022.3526000976562, 189.33534240722656), (2, 1009.4295654296875, 193.06271362304688), (2, 996.3016357421875, 202.94784545898438), (2, 986.0089111328125, 207.29348754882812), (2, 970.130859375, 213.76177978515625), (2, 958.2974853515625, 219.53506469726562), (2, 948.46435546875, 219.25498962402344), (2, 931.2271118164062, 229.00856018066406), (2, 923.2943725585938, 225.94747924804688), (2, 892.1279907226562, 236.54815673828125), (2, 877.4060668945312, 241.2099609375), (2, 869.2540283203125, 243.31820678710938), (2, 838.909912109375, 248.30918884277344), (2, 833.2532958984375, 254.10435485839844), (2, 811.6868896484375, 258.13372802734375), (2, 769.0173950195312, 270.2821044921875), (2, 732.9733276367188, 274.9374084472656), (2, 717.8009033203125, 283.906982421875), (2, 704.2479248046875, 284.1831359863281), (2, 691.666748046875, 286.42974853515625), (2, 675.9608764648438, 292.33056640625), (2, 660.2550048828125, 291.8363952636719), (2, 644.47509765625, 294.30303955078125), (2, 631.0106811523438, 295.2762145996094), (2, 613.439208984375, 297.31878662109375), (2, 595.9549560546875, 299.3689270019531), (2, 579.4506225585938, 303.3125305175781), (2, 562.4190063476562, 314.1862487792969), (2, 544.447021484375, 323.65936279296875), (2, 527.7778930664062, 320.7869873046875), (2, 507.69842529296875, 323.914794921875), (2, 488.18994140625, 323.11785888671875), (2, 470.5645751953125, 325.5348205566406), (2, 450.5184326171875, 327.7757568359375), (2, 432.8702392578125, 330.47265625), (2, 412.7590026855469, 335.1112060546875), (2, 392.57470703125, 342.3550720214844), (2, 375.588134765625, 349.381103515625), (2, 352.8852844238281, 361.4233703613281), (2, 336.278564453125, 368.78533935546875), (2, 317.3222351074219, 373.56207275390625), (2, 298.923583984375, 376.05206298828125), (2, 281.3634948730469, 379.32012939453125), (2, 261.8329772949219, 384.2051696777344), (2, 240.35662841796875, 391.67791748046875), (2, 218.94247436523438, 382.88177490234375), (2, 211.90972900390625, 387.4975891113281), (2, 208.15606689453125, 398.3466796875), (2, 193.0706024169922, 400.31658935546875), (2, 182.4488525390625, 402.8861389160156), (2, 175.81138610839844, 404.9034423828125), (2, 169.1112060546875, 406.478759765625), (2, 160.324951171875, 403.6233825683594), (2, 153.46791076660156, 405.37939453125), (2, 144.0233612060547, 405.29779052734375), (2, 159.46656799316406, 448.0728759765625), (2, 165.6699676513672, 477.8221435546875), (2, 158.51193237304688, 488.1165771484375), (2, 150.43739318847656, 494.72845458984375)]"
627,2,"[(2, 1269.238525390625, 87.1574935913086), (2, 1293.26416015625, 96.97128295898438), (2, 1350.92724609375, 135.79925537109375), (2, 1397.39501953125, 154.51475524902344), (2, 1423.5068359375, 161.55010986328125), (2, 1451.216064453125, 166.1487274169922), (2, 1483.64892578125, 176.38015747070312), (2, 1520.8985595703125, 187.2467041015625), (2, 1560.2584228515625, 194.05604553222656), (2, 1601.3663330078125, 203.79537963867188), (2, 1645.65576171875, 213.78857421875), (2, 1694.259521484375, 228.31820678710938), (2, 1743.70458984375, 242.83010864257812), (2, 1783.4287109375, 248.6883087158203), (2, 1800.7418212890625, 255.59310913085938), (2, 1810.3897705078125, 262.5842590332031), (2, 1820.7362060546875, 270.35809326171875), (2, 1828.6231689453125, 285.27972412109375), (2, 1841.6220703125, 292.9375915527344), (2, 1856.1015625, 297.5168151855469), (2, 1866.346923828125, 293.4398498535156), (2, 1880.6173095703125, 281.4305114746094)]"
632,6,"[(6, 1228.9796142578125, 133.454833984375), (6, 1212.0965576171875, 166.7930908203125), (6, 1187.923095703125, 184.21780395507812), (6, 1161.250732421875, 192.47421264648438), (6, 1126.81591796875, 204.4473876953125), (6, 1073.1328125, 214.8636016845703), (6, 1019.26513671875, 225.68460083007812), (6, 982.28955078125, 238.1109619140625), (6, 953.8016967773438, 230.59735107421875)]"
625,2,"[(2, 1123.383544921875, 85.49047088623047), (2, 1162.745361328125, 108.97760772705078), (2, 1162.4453125, 134.60153198242188), (2, 1155.610107421875, 143.456298828125), (2, 1149.7928466796875, 152.65113830566406), (2, 1139.0723876953125, 161.2584991455078), (2, 1130.462646484375, 164.56689453125), (2, 1119.63916015625, 172.6211395263672), (2, 1107.3848876953125, 182.77804565429688), (2, 1100.928955078125, 183.00411987304688), (2, 1090.1923828125, 191.5913848876953), (2, 1085.4027099609375, 193.3719940185547), (2, 1078.586181640625, 194.20712280273438), (2, 1071.1954345703125, 196.33358764648438), (2, 1065.66162109375, 197.63681030273438), (2, 1059.9288330078125, 200.8890380859375), (2, 1053.593994140625, 200.61932373046875), (2, 1048.347900390625, 203.29583740234375), (2, 1040.8621826171875, 205.72560119628906), (2, 1035.483642578125, 214.44467163085938), (2, 1028.4501953125, 215.3459014892578), (2, 1021.3811645507812, 220.85093688964844), (2, 1012.265869140625, 225.511474609375), (2, 1004.658203125, 230.7404022216797), (2, 997.1146850585938, 237.03863525390625), (2, 988.6572265625, 236.77890014648438), (2, 980.2528076171875, 235.55935668945312), (2, 969.988037109375, 238.85426330566406), (2, 960.1656494140625, 243.23867797851562), (2, 947.052490234375, 245.5726318359375), (2, 935.7109375, 248.5286865234375), (2, 926.6112060546875, 250.60494995117188), (2, 916.3734130859375, 255.2106170654297), (2, 906.4453125, 256.44354248046875), (2, 891.7371826171875, 267.6158142089844), (2, 879.1514892578125, 274.669921875), (2, 866.7786865234375, 270.46478271484375), (2, 853.279052734375, 270.9561767578125), (2, 838.9822998046875, 275.68792724609375), (2, 825.6849365234375, 286.311767578125), (2, 810.5127563476562, 292.072021484375), (2, 796.4967041015625, 292.9837646484375), (2, 792.1403198242188, 291.2857971191406), (2, 767.2696533203125, 299.6812438964844), (2, 749.3759765625, 301.87799072265625), (2, 730.656005859375, 306.7752685546875), (2, 714.9600830078125, 311.0684814453125), (2, 698.005859375, 313.60736083984375), (2, 679.181396484375, 317.3618469238281), (2, 662.2195434570312, 324.25640869140625), (2, 642.6670532226562, 330.61279296875), (2, 623.020751953125, 330.58563232421875), (2, 602.4849243164062, 336.1669006347656), (2, 583.6890258789062, 337.1952819824219), (2, 562.5182495117188, 341.00360107421875), (2, 544.281005859375, 344.98187255859375), (2, 522.29345703125, 350.8141174316406), (2, 503.9151611328125, 354.18524169921875), (2, 482.9638671875, 360.9937744140625), (2, 461.55706787109375, 366.47076416015625), (2, 441.1214904785156, 372.86187744140625), (2, 421.2570495605469, 376.8409423828125), (2, 400.12384033203125, 381.5414123535156), (2, 377.45367431640625, 385.6612548828125), (2, 357.24365234375, 388.8331298828125), (2, 335.71185302734375, 392.19879150390625), (2, 314.1153869628906, 394.359130859375), (2, 306.75299072265625, 395.8908996582031), (2, 290.274658203125, 402.51104736328125), (2, 270.2923278808594, 405.90179443359375), (2, 254.4293212890625, 412.365234375), (2, 245.019287109375, 417.80535888671875), (2, 234.62939453125, 423.8231201171875), (2, 225.695068359375, 429.1033630371094), (2, 215.46388244628906, 435.57623291015625), (2, 204.22085571289062, 439.9158020019531), (2, 196.17713928222656, 442.25897216796875), (2, 185.72007751464844, 444.20654296875), (2, 172.90858459472656, 447.71685791015625), (2, 161.52940368652344, 450.1422119140625), (2, 150.1342315673828, 452.4076843261719), (2, 138.43594360351562, 457.98297119140625), (2, 130.34695434570312, 459.6388244628906), (2, 119.22655487060547, 460.7618408203125), (2, 110.25859069824219, 462.5314025878906), (2, 100.2220687866211, 463.575439453125), (2, 86.81999206542969, 463.5673828125), (2, 77.80550384521484, 465.5299072265625), (2, 72.79471588134766, 466.22491455078125)]"
639,6,"[(6, 1292.729248046875, 195.7879638671875), (6, 1252.722900390625, 262.4807434082031), (6, 1151.078857421875, 332.1607666015625), (6, 1012.7822265625, 383.81292724609375), (6, 924.593994140625, 406.4417724609375), (6, 866.8124389648438, 390.048095703125), (6, 809.593994140625, 388.84881591796875), (6, 742.5751953125, 434.4208984375), (6, 666.182861328125, 480.32818603515625), (6, 593.2440185546875, 470.75567626953125), (6, 516.7762451171875, 508.582275390625), (2, 433.35382080078125, 533.3263549804688), (2, 356.7288513183594, 555.8775634765625), (6, 269.16552734375, 573.5120239257812), (6, 192.95123291015625, 585.2781982421875), (2, 171.22804260253906, 511.7245788574219)]"
643,6,"[(6, 1433.2772216796875, 144.005126953125)]"
642,2,"[(2, 779.9284057617188, 190.0414276123047), (2, 678.53955078125, 204.45474243164062)]"
644,2,"[(2, 1103.455078125, 50.406333923339844), (2, 1105.5958251953125, 54.681514739990234), (2, 1102.43212890625, 61.11821746826172), (2, 1108.697998046875, 60.71138381958008)]"
656,2,"[(2, 633.6177978515625, 207.0117950439453), (2, 462.3827819824219, 227.8138427734375), (2, 433.9214782714844, 232.84658813476562), (2, 411.36395263671875, 240.55133056640625), (2, 357.0561218261719, 245.46424865722656), (2, 321.61932373046875, 252.82289123535156), (2, 287.3070068359375, 259.8789367675781), (2, 256.16387939453125, 263.01318359375), (2, 251.67556762695312, 267.4281005859375), (2, 199.08987426757812, 273.68310546875), (2, 177.1705780029297, 280.4638366699219), (2, 170.2567901611328, 285.55517578125), (2, 158.56922912597656, 292.8368835449219), (2, 148.09603881835938, 299.1588134765625), (2, 138.26397705078125, 309.64727783203125), (2, 131.12472534179688, 314.6922607421875), (2, 106.24700164794922, 317.1000671386719), (2, 95.73542022705078, 330.1590270996094), (2, 83.20841217041016, 331.391845703125), (2, 69.90824890136719, 332.06304931640625)]"
657,6,"[(6, 348.2154846191406, 368.15081787109375), (6, 282.17034912109375, 369.8133544921875), (6, 194.04336547851562, 381.1484375), (6, 145.8919677734375, 394.0217590332031), (6, 100.79586029052734, 382.2904968261719), (6, 76.21592712402344, 394.77252197265625)]"
659,2,"[(2, 1287.933349609375, 89.30728149414062), (2, 1295.949951171875, 98.64707946777344), (2, 1312.74365234375, 111.10076141357422), (2, 1323.09521484375, 117.39791107177734), (2, 1336.9969482421875, 129.89059448242188), (2, 1350.15869140625, 135.83160400390625), (2, 1365.265625, 137.72042846679688), (2, 1372.326904296875, 142.92453002929688), (2, 1380.625244140625, 146.50131225585938), (2, 1388.39794921875, 154.60581970214844), (2, 1400.144775390625, 158.27996826171875), (2, 1412.11962890625, 160.6658935546875), (2, 1424.509521484375, 164.67849731445312), (2, 1437.76611328125, 166.77059936523438), (2, 1454.447265625, 168.84361267089844), (2, 1468.426513671875, 176.5663299560547), (2, 1477.994384765625, 180.4261016845703), (2, 1491.015869140625, 183.4542694091797), (2, 1517.129638671875, 192.9104461669922), (2, 1537.78076171875, 196.87872314453125), (2, 1557.419677734375, 199.87716674804688), (2, 1579.20947265625, 206.078125), (2, 1598.662841796875, 213.61512756347656), (2, 1618.930419921875, 214.85220336914062), (2, 1640.3087158203125, 225.06619262695312), (2, 1663.51220703125, 230.18035888671875), (2, 1689.42333984375, 236.4890594482422), (2, 1709.676025390625, 243.83511352539062), (2, 1720.04150390625, 246.99948120117188), (2, 1733.55029296875, 250.3056640625), (2, 1745.509033203125, 252.53680419921875), (2, 1754.8035888671875, 255.98117065429688), (2, 1763.80810546875, 259.00506591796875), (2, 1776.443359375, 263.5236511230469), (2, 1780.76416015625, 267.5814514160156), (2, 1785.705810546875, 270.40606689453125), (2, 1789.474365234375, 269.3346252441406), (2, 1794.3052978515625, 270.9405822753906), (2, 1799.9669189453125, 274.6874084472656), (2, 1805.5848388671875, 277.2487487792969), (2, 1810.16650390625, 279.6220397949219), (2, 1816.2880859375, 284.7587890625), (2, 1822.20166015625, 287.6889953613281), (2, 1830.9595947265625, 294.9058837890625), (2, 1837.0546875, 301.09808349609375), (2, 1841.2169189453125, 300.6950378417969), (2, 1847.771728515625, 302.5805358886719), (2, 1853.746826171875, 304.6787109375), (2, 1857.5013427734375, 305.3929443359375), (2, 1854.115966796875, 289.01806640625), (2, 1865.03369140625, 297.4000549316406), (2, 1872.70703125, 299.2830810546875)]"
641,2,"[(2, 1161.5008544921875, 97.60733032226562), (2, 1113.187255859375, 113.50001525878906), (2, 1113.8167724609375, 123.96495056152344), (3, 1088.51416015625, 131.8848876953125), (3, 1067.575439453125, 142.10255432128906), (3, 1038.19287109375, 142.56044006347656), (3, 1009.1985473632812, 147.18870544433594), (3, 981.2625732421875, 156.27880859375), (3, 961.8829345703125, 162.01388549804688), (3, 902.3009033203125, 166.2358856201172), (5, 846.6771240234375, 169.19131469726562), (5, 815.5474853515625, 169.11264038085938), (5, 764.9111328125, 186.89599609375), (5, 716.121826171875, 178.14788818359375), (5, 690.5092163085938, 177.09429931640625), (5, 659.848388671875, 193.94921875), (5, 631.5280151367188, 216.10765075683594), (5, 607.561767578125, 227.39300537109375), (5, 577.1430053710938, 237.79331970214844), (5, 551.4096069335938, 240.46087646484375), (5, 520.0555419921875, 247.2684326171875), (5, 491.5098571777344, 257.6008605957031), (5, 457.5517578125, 264.2544860839844), (5, 431.3734436035156, 272.2877502441406), (5, 397.4381103515625, 275.7852478027344), (5, 369.5999755859375, 275.86419677734375), (5, 353.3287658691406, 275.0037841796875), (5, 344.4978332519531, 278.388427734375), (5, 341.2522277832031, 278.297607421875), (5, 338.6282958984375, 278.68157958984375), (5, 332.53314208984375, 283.650390625), (5, 327.177734375, 287.839599609375), (5, 320.837890625, 290.2694396972656), (5, 312.91058349609375, 293.6517639160156), (5, 304.4634094238281, 296.04638671875), (5, 298.19677734375, 296.8348388671875), (5, 305.02166748046875, 285.33172607421875), (5, 302.96868896484375, 278.9270935058594), (5, 288.63720703125, 286.20721435546875), (5, 275.7829284667969, 293.4609680175781), (5, 262.6036376953125, 285.4835510253906), (5, 288.4500732421875, 256.5114440917969), (5, 283.2790832519531, 244.84481811523438), (5, 265.29736328125, 256.87628173828125), (5, 242.04656982421875, 264.59051513671875), (5, 242.90426635742188, 246.9213409423828), (5, 231.5863494873047, 238.91807556152344)]"
664,2,"[(2, 808.780029296875, 307.2872619628906)]"
